gene,mirna
825,10
4386,10
4496,10
5445,10
612,10
612,10
612,10
612,10
4395,10
3652,10
344,10
344,10
2562,10
4794,10
5698,10
2637,10
2801,10
5770,10
5770,10
4290,10
6165,10
4693,10
4693,10
4862,10
4862,10
1536,10
7018,10
7018,10
6022,10
5428,10
5428,10
5346,10
5346,10
5346,10
5292,10
5121,10
4750,10
4374,10
4374,10
4374,10
4374,10
4027,10
4027,10
3964,10
3592,10
3288,10
3082,10
3082,10
2667,10
2667,10
2404,10
2404,10
626,10
626,10
625,10
573,10
573,10
573,10
564,10
378,10
378,10
212,10
209,10
5237,10
5237,10
6738,10
5294,10
1314,10
479,10
7087,10
6728,10
6491,10
2755,10
4185,10
3120,10
3120,10
7213,10
6950,10
6950,10
6601,10
6601,10
5718,10
4767,10
4090,10
4090,10
4090,10
4090,10
1315,10
1296,10
839,10
2530,10
2530,10
2530,10
2530,10
1518,10
1518,10
1518,10
1187,10
1187,10
2653,10
2653,10
2050,10
6159,10
4867,10
5862,10
5862,10
6501,10
5293,10
7195,10
4332,10
2234,10
2032,10
1538,10
1134,10
3623,10
98,10
231,10
231,10
5777,10
5255,10
5077,10
871,10
871,10
5084,10
2198,10
2198,10
4960,10
2074,10
7200,10
2860,10
2353,10
499,10
3421,10
5924,10
792,10
6914,10
2025,10
2155,10
1949,10
6504,10
3471,10
3471,10
4377,10
1574,10
2611,10
621,10
1965,10
161,10
161,10
161,10
4636,10
3633,10
2094,10
4481,10
1637,10
2711,10
3630,10
4067,10
4074,10
4198,10
5251,10
6744,10
7025,10
7237,10
7481,10
3375,10
5552,10
6962,10
7294,10
3148,10
1118,10
1118,10
4399,10
4399,10
3325,10
4242,10
3324,10
3832,10
630,10
2331,10
479,10
2425,10
5274,10
3175,11
3781,11
3781,11
3781,11
3781,11
2154,11
6329,11
3686,11
3686,11
2956,11
3791,11
3791,11
3791,11
3043,11
3043,11
6068,11
7442,11
1622,11
1622,11
1622,11
7011,11
7165,11
3029,11
6851,11
3447,11
3447,11
3447,11
4355,11
813,11
119,11
529,11
529,11
529,11
6349,11
6349,11
6349,11
6349,11
159,11
159,11
159,11
2649,11
2649,11
2076,11
2076,11
1616,11
4844,11
4844,11
268,11
5403,11
792,11
1268,11
5862,11
5862,11
6496,11
6496,11
87,11
6463,11
5023,11
4692,11
5118,11
3149,11
4125,11
6130,11
1206,11
1206,11
2045,11
5325,11
4946,11
4330,11
186,11
5142,11
5142,11
1917,11
4442,11
1545,11
7282,11
4095,11
3670,11
3471,11
309,11
2205,11
6407,11
6643,11
5294,12
5294,12
5294,12
5294,12
7104,12
7104,12
4743,12
2202,12
2202,12
4095,12
4095,12
3686,12
3686,12
3686,12
2956,12
2956,12
3791,12
3781,12
3781,12
6068,12
7442,12
3194,12
3029,12
6851,12
6375,12
6375,12
4087,12
4024,12
6393,12
4355,12
6349,12
6349,12
6349,12
6349,12
5014,12
5014,12
5014,12
1531,12
2933,12
2933,12
2076,12
2076,12
1616,12
796,12
796,12
5403,12
813,12
1268,12
3574,12
3574,12
3574,12
3574,12
3574,12
5862,12
5862,12
7194,12
5023,12
3447,12
3447,12
5118,12
4944,12
4125,12
6130,12
1206,12
1206,12
2045,12
3456,12
3456,12
5010,12
5010,12
5010,12
5010,12
5325,12
4946,12
4330,12
186,12
5142,12
5142,12
1917,12
1545,12
658,12
2595,12
6643,12
5119,12
5471,13
4395,13
4395,13
7187,13
1118,13
1118,13
1118,13
1267,13
1267,13
4335,13
2148,13
2812,13
480,13
480,13
480,13
480,13
3177,13
5765,13
1502,13
6560,13
495,13
6765,13
